"stationId","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31"
4134,11,13,5,11,5,9,0,3,11,12,-4,2,26,0,5,-3,2,8,1,2,5,-2,3,9,6,6,2,1,13,-3,0
4135,-5,1,0,-1,1,-1,-1,1,1,0,0,-1,0,0,0,2,0,1,-1,0,0,-2,-1,0,0,1,5,-1,1,0,0
4136,5,0,1,1,0,1,1,0,1,-3,1,3,1,2,-1,0,1,-1,0,-1,0,0,5,0,0,0,0,0,1,-1,0
4138,10,0,-11,-10,7,11,-10,-5,9,16,-6,-10,-9,2,-11,-4,16,-7,5,-3,1,4,-1,14,8,7,-2,-11,9,-9,2
4142,26,2,-4,4,-14,-9,5,-1,1,11,14,2,3,-5,-2,-13,-13,-5,-20,-15,-5,-2,-1,17,-6,10,-7,16,1,13,-6
4143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4144,4,9,-1,-6,-2,-1,-3,9,10,-11,3,-2,6,-3,7,7,7,13,-10,2,0,-4,8,-4,5,5,-6,-2,4,4,-1
4146,-9,8,5,3,2,3,2,1,7,0,9,6,-4,7,-1,2,2,-6,-1,-5,-5,-2,14,18,3,-12,15,19,4,15,2
4147,3,-5,-7,7,-7,-4,-12,1,-3,2,-10,0,7,-9,4,16,-15,-1,7,-4,-7,-17,-16,-29,-3,-1,14,-33,5,-11,-3
4148,8,2,1,5,0,5,1,2,1,-4,2,9,0,9,1,4,-3,4,0,3,-6,5,11,12,-3,2,-3,12,1,2,5
4149,-8,-1,-3,-1,-8,-9,3,0,-1,6,1,-4,-4,2,-10,-14,3,-3,-9,-6,-3,-2,2,-8,-1,3,1,5,-4,1,-2
4150,-1,2,-4,5,5,4,9,9,9,-6,7,12,11,-3,1,11,16,2,6,8,8,9,7,13,3,2,6,-2,8,1,3
4151,10,8,-1,1,19,5,3,13,-10,5,8,7,6,1,3,2,6,10,14,7,8,9,3,4,-1,1,8,8,7,2,5
4152,16,8,10,4,5,12,8,3,10,8,13,4,7,7,10,12,0,15,9,12,24,16,17,28,-3,10,9,19,16,12,4
4153,-10,-3,-5,-5,-1,7,4,-6,11,3,-5,-4,-3,-2,-2,2,-2,0,-4,-12,6,-8,14,20,-3,9,-1,1,10,-4,1
4154,9,7,0,9,8,3,6,13,10,13,6,8,9,9,11,10,13,19,15,3,3,6,16,8,3,3,6,13,5,4,3
4155,2,5,9,0,8,7,3,6,7,1,9,1,4,-4,3,5,9,9,15,9,14,-2,11,-2,14,7,7,16,11,0,6
4156,-2,5,1,10,-3,0,-10,-9,0,10,-8,3,-3,-2,-2,10,-2,0,9,14,-5,3,1,-6,-3,8,-2,6,9,5,5
4157,-5,0,0,15,0,-7,-2,-17,7,-11,2,1,6,1,-3,-14,0,-3,-11,-5,-3,12,-13,-1,6,-13,14,0,-6,-8,3
4158,-11,-13,1,-12,-14,-6,-9,-12,-1,-11,-18,-8,-10,-9,-21,-6,-5,-13,-6,-8,-3,-13,-7,-2,-12,1,-23,-30,-2,-2,-9
4159,-7,3,3,-14,6,-6,6,2,-14,-1,-8,2,-3,5,4,16,-12,3,-5,6,3,-6,-18,3,-8,-5,2,-4,11,-5,3
4160,-6,-5,-17,-14,-15,-18,-15,-18,-10,-20,-7,-4,-10,-27,-20,-13,-12,-17,-16,0,-14,-12,-4,-9,-10,-16,-6,-6,-14,-13,-23
4162,9,-12,18,2,-24,16,-20,5,-12,-6,-7,-19,-8,-5,8,-5,-15,3,-12,-15,-25,19,-2,-6,-4,3,-5,-22,-10,3,-7
4163,11,12,7,3,20,0,21,16,13,16,10,16,18,35,6,15,12,14,20,8,0,4,17,17,4,10,9,23,3,7,9
4165,-2,-5,4,-5,-18,-9,-17,-7,-9,-15,-5,-31,-3,1,-4,-14,-20,4,-14,-7,-12,-16,-18,-8,-28,-17,-13,-13,-21,-11,2
4166,5,8,2,5,7,13,-3,-5,13,0,11,1,4,-3,3,-4,-1,4,18,4,2,-4,-1,3,4,15,4,0,6,-2,0
4167,-3,1,-2,2,3,9,4,-2,-5,-4,-2,4,5,13,10,-2,-1,-2,2,5,7,-9,-7,-12,-7,-10,-16,-9,-3,-11,9
4169,-5,-5,2,14,9,4,11,2,-4,0,1,4,4,12,-2,-1,5,-1,8,3,3,-2,2,-1,11,-4,-3,-4,-2,3,-2
4170,11,11,9,2,6,16,18,14,0,13,12,13,12,11,14,2,4,5,0,11,16,9,7,5,13,11,19,9,19,12,8
4174,6,6,2,4,14,3,7,-2,2,5,8,3,7,5,2,11,4,7,6,7,5,13,3,7,8,9,10,3,-1,12,19
4176,6,-18,-5,2,1,6,-12,9,1,-7,10,-2,5,-3,4,-13,19,-11,-9,-3,3,-2,4,-8,1,0,-3,5,-20,-1,4
4177,-19,-14,2,-9,-10,-11,-9,-4,-8,3,-9,-18,-15,-15,2,-2,-2,-17,3,4,-8,-7,-2,-5,2,1,-9,1,-12,-7,-8
4180,-3,-4,-2,2,-1,-14,-3,-11,-6,1,-8,-2,-12,-11,-12,1,-8,-7,-7,-6,-15,11,-5,3,5,-5,-3,-2,-6,-2,-8
4181,-19,-7,5,-6,4,-3,8,-4,-6,4,-16,9,0,11,7,-3,10,15,9,0,11,11,-2,-2,23,9,-5,17,-9,-7,2
4183,6,4,11,7,10,10,4,13,-1,10,3,14,-4,-2,12,2,14,-5,7,0,15,8,-2,-9,-5,0,0,12,-1,1,-8
4194,2,0,0,2,3,-1,6,2,1,4,2,0,0,2,-1,-2,0,1,0,0,-1,1,0,0,-5,0,5,1,-1,0,4
4202,6,6,-2,7,-13,-4,6,15,1,-1,-11,0,2,-15,0,29,8,1,20,20,14,9,-6,-24,10,16,4,18,-1,17,5
4204,7,2,8,1,6,-8,4,13,7,18,1,2,3,4,-2,-10,4,0,10,14,0,4,15,0,8,-8,0,17,12,-19,9
4205,17,0,3,11,3,4,0,14,13,-2,-2,6,4,13,4,10,-4,8,5,2,14,12,6,11,8,10,3,22,7,2,8
4206,9,-5,10,5,-4,5,-8,-4,-3,2,-1,4,9,3,-4,-2,11,6,7,4,0,6,4,7,-3,5,2,1,-3,5,-3
